symbol,close,timestamp,low,open,high,volume,date
IDI,2.56,1481673600,2.48,2.48,2.56,196370,2016-12-14
IDI,2.4,1481760000,2.4,2.55,2.56,520200,2016-12-15
IDI,2.4,1481846400,2.28,2.49,2.51,1308120,2016-12-16
IDI,2.4,1482105600,2.36,2.45,2.45,424970,2016-12-19
IDI,2.35,1482192000,2.35,2.4,2.43,350100,2016-12-20
IDI,2.33,1482278400,2.28,2.34,2.37,340060,2016-12-21
IDI,2.32,1482364800,2.31,2.31,2.37,353850,2016-12-22
IDI,2.32,1482451200,2.32,2.32,2.35,386600,2016-12-23
IDI,2.32,1482710400,2.32,2.44,2.44,403370,2016-12-26
IDI,2.31,1482796800,2.31,2.33,2.33,367330,2016-12-27
IDI,2.31,1482883200,2.23,2.33,2.33,122440,2016-12-28
IDI,2.25,1482969600,2.25,2.34,2.34,81740,2016-12-29
IDI,2.25,1483056000,2.23,2.25,2.28,105800,2016-12-30
IDI,2.27,1483401600,2.23,2.23,2.29,62270,2017-01-03
IDI,2.26,1483488000,2.26,2.26,2.35,36590,2017-01-04
IDI,2.26,1483574400,2.25,2.27,2.27,76030,2017-01-05
IDI,2.25,1483660800,2.23,2.26,2.28,101460,2017-01-06
IDI,2.24,1483920000,2.23,2.23,2.27,34370,2017-01-09
IDI,2.24,1484006400,2.2,2.23,2.26,368270,2017-01-10
IDI,2.28,1484092800,2.25,2.26,2.32,520440,2017-01-11
IDI,2.24,1484179200,2.23,2.28,2.28,189500,2017-01-12
IDI,2.26,1484265600,2.21,2.29,2.29,248350,2017-01-13
IDI,2.24,1484524800,2.22,2.22,2.26,186320,2017-01-16
IDI,2.19,1484611200,2.19,2.24,2.24,174690,2017-01-17
IDI,2.17,1484697600,2.17,2.23,2.23,157150,2017-01-18
IDI,2.22,1484784000,2.17,2.22,2.22,158160,2017-01-19
IDI,2.22,1484870400,2.19,2.23,2.23,112980,2017-01-20
IDI,2.22,1485129600,2.18,2.22,2.25,64260,2017-01-23
