open,close,volume,symbol,timestamp,low,date,high
7,7.5,88000,PSI,1416268800,7,2014-11-18,7.5
7.5,7.5,4500,PSI,1416355200,7.3,2014-11-19,7.5
7,7.5,2890,PSI,1416441600,7,2014-11-20,7.5
7.1,7.4,1000,PSI,1416528000,7.1,2014-11-21,7.4
7.1,7.3,2400,PSI,1416787200,7.1,2014-11-24,7.3
7.1,7.2,9990,PSI,1416873600,7.1,2014-11-25,7.2
7.2,7,21900,PSI,1416960000,7,2014-11-26,7.2
7,7.1,29400,PSI,1417046400,7,2014-11-27,7.1
7,7.1,45600,PSI,1417132800,7,2014-11-28,7.1
7,7.1,63200,PSI,1417392000,7,2014-12-01,7.1
7.3,7.3,100,PSI,1417478400,7.3,2014-12-02,7.3
7.3,7.3,4300,PSI,1417564800,7.3,2014-12-03,7.3
7,7,200,PSI,1417651200,7,2014-12-04,7
7,6.9,36000,PSI,1417737600,6.9,2014-12-05,7.1
6.9,7.1,10100,PSI,1417996800,6.9,2014-12-08,7.1
7.1,7,39601,PSI,1418083200,7,2014-12-09,7.1
7,7,23900,PSI,1418169600,6.3,2014-12-10,7
7,7,25260,PSI,1418256000,7,2014-12-11,7.2
7,7.1,45400,PSI,1418342400,7,2014-12-12,7.1
7,7.1,30200,PSI,1418601600,7,2014-12-15,7.1
7,7.1,50190,PSI,1418688000,6.9,2014-12-16,7.1
7,7,45000,PSI,1418774400,7,2014-12-17,7
7,7,58369,PSI,1418860800,7,2014-12-18,7
7,7,44100,PSI,1418947200,7,2014-12-19,7
7,7,8650,PSI,1419206400,7,2014-12-22,7
7.1,7,35400,PSI,1419292800,7,2014-12-23,7.1
7,7,14550,PSI,1419379200,7,2014-12-24,7
7,7.5,23000,PSI,1419465600,7,2014-12-25,7.7
7.1,8,20500,PSI,1419552000,7,2014-12-26,8
7.5,7.5,100,PSI,1419897600,7.5,2014-12-30,7.5
7.7,7.4,5100,PSI,1419984000,7.4,2014-12-31,7.7
7.6,7,6200,PSI,1420416000,7,2015-01-05,7.6
7.1,7.1,1600,PSI,1420502400,7.1,2015-01-06,7.1
7,7,200,PSI,1420588800,7,2015-01-07,7
7.6,7,4400,PSI,1420675200,7,2015-01-08,7.6
7.5,7.1,31600,PSI,1420761600,7.1,2015-01-09,7.5
7.1,7.1,6000,PSI,1421020800,7.1,2015-01-12,7.1
7.1,7,7995,PSI,1421107200,7,2015-01-13,7.1
7,7,2005,PSI,1421193600,7,2015-01-14,7
7,7.5,211,PSI,1421280000,7,2015-01-15,7.5
